sweep,xi,d2,L,N,T,rm,sigma0_hi,a,s0bar,K1,K2,kappa,A,mass_int,mean_int,vmean_int,mmin,stationarity_u,stationarity_v,stationarity_w,stationarity_max,comparison_interval,solver_success,nfev,njev,nlu
phase,8.0,0.08,10.0,200,300.0,1.9,1.2000000000000002,3.1,0.45600000000000007,0.13555479576778218,0.15304705867520418,0.44636961271445064,0.7226760871996231,2.98385126259786,0.4812663326770742,0.5200804980731533,0.0,1.713883009692646e-12,2.512832164434641e-12,2.8866659956367563e-12,2.8866659956367563e-12,5.0847457627118615,True,2461,17,171
phase,8.0,0.08,10.0,200,300.0,1.9,1.4000000000000001,3.1,0.532,0.14209663906374626,0.18983145233707477,0.4270095934088086,0.7554412128920472,2.7067177766233907,0.43656738332635336,0.5731194220392275,0.0,5.816473098428121e-14,2.1338210468241975e-14,3.435623931098336e-14,5.816473098428121e-14,5.0847457627118615,True,2708,23,187
phase,8.0,0.08,10.0,200,300.0,1.9,1.6,3.1,0.608,0.14548247145020954,0.2260311858890418,0.4176170463710896,0.7724317002008796,2.4839714123394065,0.4006405503773236,0.6230176948392725,0.0,1.892317059889282e-14,5.564854930904252e-15,1.811685952437823e-14,1.892317059889282e-14,5.0847457627118615,True,2906,21,198
phase,8.0,0.08,10.0,200,300.0,1.9,1.8,3.1,0.684,0.1482099643375967,0.26022287667969435,0.4103382999116528,0.7861334056088427,2.301459484791291,0.37120314270827276,0.6708850630203879,0.0,9.135631706290552e-14,4.209314609969588e-14,3.323973062069288e-14,9.135631706290552e-14,5.0847457627118615,True,3137,22,209
phase,8.0,0.08,10.0,200,300.0,1.9,2.0,3.1,0.76,0.15146494043743186,0.29469901118711617,0.4019689911456681,0.8025013179297491,2.1493242508202557,0.3466652017452025,0.7172045801560182,0.0,5.42234919877591e-14,5.926276512400558e-15,5.906862139642554e-14,5.906862139642554e-14,5.0847457627118615,True,3605,33,254
phase,8.0,0.08,10.0,200,300.0,1.9,2.2,3.1,0.836,0.15491763352307508,0.3251286650600427,0.39344771520119226,0.8198818615488374,2.02047406486567,0.3258829136880112,0.7622539839389275,0.0,1.772608298391156e-14,1.1339448714520664e-14,1.737781020545963e-14,1.772608298391156e-14,5.0847457627118615,True,4379,60,330
phase,8.0,0.08,10.0,200,300.0,1.9,2.4000000000000004,3.1,0.9120000000000001,0.15836036197424352,0.3539627354469055,0.3852951322537365,0.8372300041124175,1.909806362882102,0.3080332843358229,0.8062154120753587,0.0,1.0224261854119955e-13,2.7891186761110753e-14,2.080870901670373e-14,1.0224261854119955e-13,5.0847457627118615,True,5139,73,392
phase,8.0,0.08,10.0,200,300.0,1.9,2.6,3.1,0.988,0.16168005111962702,0.3792162928428766,0.3777406051594434,0.8539739724966284,1.8136008965320807,0.2925162736342065,0.849221477494199,0.0,5.49383798488154e-14,2.5704868461675037e-15,5.649957198915691e-14,5.649957198915691e-14,5.0847457627118615,True,5643,96,453
phase,8.0,0.08,10.0,200,300.0,1.9,2.8,3.1,1.064,0.16498207463959857,0.401556484046911,0.3705083463542924,0.870643396661375,1.729093311024357,0.27888601790715434,0.8913764440865712,0.0,3.7626501907248025e-13,5.806247616385997e-14,1.449036638952187e-13,3.7626501907248025e-13,5.0847457627118615,True,6232,110,508
phase,8.0,0.08,10.0,200,300.0,1.9,3.0,3.1,1.14,0.16823935564412085,0.4184064423986278,0.3636348733881842,0.8871004096929174,1.6541887590931919,0.266804638563418,0.93276641546691,0.0,5.953443038455912e-14,2.0914345192675757e-14,2.947005137235321e-14,5.953443038455912e-14,5.0847457627118615,True,6753,113,545
phase,8.0,0.08,10.0,200,300.0,1.9,3.2,3.1,1.216,0.17151988630585369,0.4395781525303122,0.3569603188657386,0.9036876877136046,1.587270400104124,0.25601135485550386,0.9734645865076569,0.0,6.767290634696427e-14,1.3829579038125161e-14,9.820616662726995e-15,6.767290634696427e-14,5.0847457627118615,True,7183,111,575
phase,8.0,0.08,10.0,200,300.0,2.25,0.8,2.75,0.36,0.11007710125295889,0.08816711550850287,0.5411776544376634,0.6719352890026796,3.397765529529265,0.6177755508235027,0.38038167039336424,0.0,2.9971076097499962e-12,2.2063337972446878e-12,3.4671908892452384e-12,3.4671908892452384e-12,5.0847457627118615,True,1871,15,137
phase,8.0,0.08,10.0,200,300.0,2.25,1.0,2.75,0.45,0.13024745852848518,0.12047969245716494,0.463370842724925,0.7847631531970006,2.6121488728915754,0.4749361587075592,0.5238849405085447,0.0,4.403396145904619e-13,4.806920427005426e-13,6.226205098482839e-13,6.226205098482839e-13,5.0847457627118615,True,2285,15,158
phase,8.0,0.08,10.0,200,300.0,2.25,1.2000000000000002,2.75,0.54,0.13807870749999063,0.1557275962496607,0.4387020028211869,0.8288915056186336,2.285102335726869,0.41547315195033985,0.5880036866208611,0.0,5.6666923152457983e-14,2.3798936576200214e-14,1.1526720134483188e-14,5.6666923152457983e-14,5.0847457627118615,True,2439,18,167
phase,8.0,0.08,10.0,200,300.0,2.25,1.4000000000000001,2.75,0.6300000000000001,0.14442469313580508,0.1936501570675042,0.42050794345667164,0.8647550404094377,2.033902125386399,0.3698003864338907,0.6455171046871949,0.0,6.110046871205023e-13,1.6948375329863946e-13,5.787369093152395e-13,6.110046871205023e-13,5.0847457627118615,True,2760,21,188
phase,8.0,0.08,10.0,200,300.0,2.25,1.6,2.75,0.72,0.14744279573646935,0.23147334000798714,0.41236052061217054,0.8818408782114414,1.8357759239397886,0.3337774407163252,0.6995893504243319,0.0,1.0218990364603827e-13,3.375852538754271e-14,1.6014060901989929e-13,1.6014060901989929e-13,5.0847457627118615,True,2895,23,200
phase,8.0,0.08,10.0,200,300.0,2.25,1.8,2.75,0.81,0.14985551313011214,0.2666635808089013,0.4060652102749751,0.8955122340821073,1.6770136319558782,0.30491156944652326,0.7511532978577421,0.0,1.771601013054152e-13,2.088360289845653e-14,1.8517092315372821e-13,1.8517092315372821e-13,5.0847457627118615,True,3220,21,211
phase,8.0,0.08,10.0,200,300.0,2.25,2.0,2.75,0.9,0.1530453520437658,0.3014236414290772,0.3980242841659251,0.913603461151566,1.547475805975895,0.2813592374501627,0.8007494352221839,0.0,2.5178267411789466e-14,1.6268939796322685e-14,6.651376762549501e-14,6.651376762549501e-14,5.0847457627118615,True,3822,38,257
phase,8.0,0.08,10.0,200,300.0,2.25,2.2,2.75,0.99,0.15668612591375086,0.33171479649080626,0.3892182002113692,0.9342737915104867,1.4399129790105352,0.26180235982009725,0.8487387537912638,0.0,3.22324866399921e-13,5.442743677394023e-14,1.1220044541558935e-13,3.22324866399921e-13,5.0847457627118615,True,4582,56,346
phase,8.0,0.08,10.0,200,300.0,2.25,2.4000000000000004,2.75,1.08,0.1605590060919071,0.3601584001516833,0.3802591417167822,0.9562856582346171,1.3491702082598471,0.2453036742290631,0.8953815885831441,0.0,6.762154926102828e-14,2.987959094906328e-14,1.6917284104743125e-13,1.6917284104743125e-13,5.0847457627118615,True,5309,76,417
phase,8.0,0.08,10.0,200,300.0,2.25,2.6,2.75,1.17,0.16456231939425858,0.3855701880862483,0.37141264591740303,0.9790629576926987,1.271540911163815,0.23118925657523906,0.940875917531038,0.0,8.677242318325501e-13,5.457399816430902e-14,9.185549129987786e-13,9.185549129987786e-13,5.0847457627118615,True,5853,92,462
phase,8.0,0.08,10.0,200,300.0,2.25,2.8,2.75,1.26,0.16878222829337153,0.420619941201017,0.3625135187848738,1.0030973875271012,1.2043142775152471,0.21896623227549944,0.9853776913726985,0.0,2.5860806898583335e-13,1.304087082205965e-13,7.608027174791163e-13,7.608027174791163e-13,5.0847457627118615,True,6272,99,498
phase,8.0,0.08,10.0,200,300.0,2.25,3.0,2.75,1.35,0.17241315150715253,0.5597407478972471,0.35518428106847966,1.0237963305765054,1.1454713746822645,0.20826752266950263,1.0290126649146136,0.0,1.4947662316796655e-13,1.1712554660481285e-13,6.173744575836463e-13,6.173744575836463e-13,5.0847457627118615,True,6861,102,536
phase,8.0,0.08,10.0,200,300.0,2.25,3.2,2.75,1.44,0.17262066908512175,0.7545416297591923,0.35477416044876753,1.0249798440122753,1.0934818804781834,0.1988148873596697,1.0718839331878005,0.0,1.9439763488020784e-12,1.6620934226646215e-13,8.242760185546666e-13,1.9439763488020784e-12,5.0847457627118615,True,7162,101,567
phase,8.0,0.08,10.0,200,300.0,2.5999999999999996,0.8,2.4000000000000004,0.4159999999999999,0.11686470483979722,0.08898124615081549,0.5123448332851179,0.8132543544843229,2.5058662786916504,0.5220554747274271,0.4758801969334557,0.0,3.1146514722658124e-10,1.1037540868252322e-10,3.859034582732325e-10,3.859034582732325e-10,5.0847457627118615,True,2084,11,139
